sku,name,type,category,subcat,active
P7046500CR,The Cedar Reserve - American Red - PG - 00mg,Product,Labelled,Freebase,1
P7046503CR,The Cedar Reserve - American Red - PG - 03mg,Product,Labelled,Freebase,1
P7046506CR,The Cedar Reserve - American Red - PG - 06mg,Product,Labelled,Freebase,1
P7046512CR,The Cedar Reserve - American Red - PG - 12mg,Product,Labelled,Freebase,1
P7046518CR,The Cedar Reserve - American Red - PG - 18mg,Product,Labelled,Freebase,1
P7047600CR,The Cedar Reserve - Apple - PG - 00mg,Product,Labelled,Freebase,1
P7047603CR,The Cedar Reserve - Apple - PG - 03mg,Product,Labelled,Freebase,1
P7047606CR,The Cedar Reserve - Apple - PG - 06mg,Product,Labelled,Freebase,1
P7047612CR,The Cedar Reserve - Apple - PG - 12mg,Product,Labelled,Freebase,1
P7047618CR,The Cedar Reserve - Apple - PG - 18mg,Product,Labelled,Freebase,1
P7056600CR,The Cedar Reserve - Apple Pie & Custard - PG - 00mg,Product,Labelled,Freebase,1
P7056603CR,The Cedar Reserve - Apple Pie & Custard - PG - 03mg,Product,Labelled,Freebase,1
P7056606CR,The Cedar Reserve - Apple Pie & Custard - PG - 06mg,Product,Labelled,Freebase,1
P7056612CR,The Cedar Reserve - Apple Pie & Custard - PG - 12mg,Product,Labelled,Freebase,1
P7056618CR,The Cedar Reserve - Apple Pie & Custard - PG - 18mg,Product,Labelled,Freebase,1
P7056900CR,The Cedar Reserve - Apricot Yoghurt - PG - 00mg,Product,Labelled,Freebase,1
P7056903CR,The Cedar Reserve - Apricot Yoghurt - PG - 03mg,Product,Labelled,Freebase,1
P7056906CR,The Cedar Reserve - Apricot Yoghurt - PG - 06mg,Product,Labelled,Freebase,1
P7056912CR,The Cedar Reserve - Apricot Yoghurt - PG - 12mg,Product,Labelled,Freebase,1
P7056918CR,The Cedar Reserve - Apricot Yoghurt - PG - 18mg,Product,Labelled,Freebase,1
P7047200CR,The Cedar Reserve - Berrylicious - PG - 00mg,Product,Labelled,Freebase,1
P7047203CR,The Cedar Reserve - Berrylicious - PG - 03mg,Product,Labelled,Freebase,1
P7047206CR,The Cedar Reserve - Berrylicious - PG - 06mg,Product,Labelled,Freebase,1
P7047212CR,The Cedar Reserve - Berrylicious - PG - 12mg,Product,Labelled,Freebase,1
P7047218CR,The Cedar Reserve - Berrylicious - PG - 18mg,Product,Labelled,Freebase,1
P7047400CR,The Cedar Reserve - Black Cherry - PG - 00mg,Product,Labelled,Freebase,1
P7047403CR,The Cedar Reserve - Black Cherry - PG - 03mg,Product,Labelled,Freebase,1
P7047406CR,The Cedar Reserve - Black Cherry - PG - 06mg,Product,Labelled,Freebase,1
P7047412CR,The Cedar Reserve - Black Cherry - PG - 12mg,Product,Labelled,Freebase,1
P7047418CR,The Cedar Reserve - Black Cherry - PG - 18mg,Product,Labelled,Freebase,1
P7047500CR,The Cedar Reserve - Blueberry - PG - 00mg,Product,Labelled,Freebase,1
P7047503CR,The Cedar Reserve - Blueberry - PG - 03mg,Product,Labelled,Freebase,1
P7047506CR,The Cedar Reserve - Blueberry - PG - 06mg,Product,Labelled,Freebase,1
P7047512CR,The Cedar Reserve - Blueberry - PG - 12mg,Product,Labelled,Freebase,1
P7047518CR,The Cedar Reserve - Blueberry - PG - 18mg,Product,Labelled,Freebase,1
P7047000CR,The Cedar Reserve - Blueberry Menthol - PG - 00mg,Product,Labelled,Freebase,1
P7047003CR,The Cedar Reserve - Blueberry Menthol - PG - 03mg,Product,Labelled,Freebase,1
P7047006CR,The Cedar Reserve - Blueberry Menthol - PG - 06mg,Product,Labelled,Freebase,1
P7047012CR,The Cedar Reserve - Blueberry Menthol - PG - 12mg,Product,Labelled,Freebase,1
P7047018CR,The Cedar Reserve - Blueberry Menthol - PG - 18mg,Product,Labelled,Freebase,1
P7047800CR,The Cedar Reserve - Blueberry Muffin - PG - 00mg,Product,Labelled,Freebase,1
P7047803CR,The Cedar Reserve - Blueberry Muffin - PG - 03mg,Product,Labelled,Freebase,1
P7047806CR,The Cedar Reserve - Blueberry Muffin - PG - 06mg,Product,Labelled,Freebase,1
P7047812CR,The Cedar Reserve - Blueberry Muffin - PG - 12mg,Product,Labelled,Freebase,1
P7047818CR,The Cedar Reserve - Blueberry Muffin - PG - 18mg,Product,Labelled,Freebase,1
P7069000CR,The Cedar Reserve - Bubblegum - PG - 00mg,Product,Labelled,Freebase,1
